employment_income,deducts,amt0,amt1,amt2,amt3,amt4,amt5,amt6,amt7
200000.0,102000.0,4500.0,4958.0,5260.0,5563.0,5866.0,6168.0,6471.0,6773.0
200000.0,102500.0,4540.0,4992.0,5294.0,5597.0,5900.0,6202.0,6505.0,6807.0
200000.0,103000.0,4579.0,5026.0,5328.0,5631.0,5934.0,6236.0,6539.0,6841.0
200000.0,103500.0,4618.0,5060.0,5362.0,5665.0,5968.0,6270.0,6573.0,6875.0
200000.0,104000.0,4657.0,5094.0,5396.0,5699.0,6002.0,6304.0,6607.0,6909.0
200000.0,104500.0,4697.0,5128.0,5430.0,5733.0,6036.0,6338.0,6641.0,6943.0
200000.0,105000.0,4736.0,5162.0,5464.0,5767.0,6070.0,6372.0,6675.0,6977.0
200000.0,105500.0,4775.0,5196.0,5498.0,5801.0,6104.0,6406.0,6709.0,7011.0
200000.0,106000.0,4814.0,5230.0,5532.0,5835.0,6138.0,6440.0,6743.0,7045.0
200000.0,106500.0,4854.0,5264.0,5566.0,5869.0,6172.0,6474.0,6777.0,7079.0
200000.0,107000.0,4893.0,5298.0,5600.0,5903.0,6206.0,6508.0,6811.0,7113.0
200000.0,107500.0,4932.0,5332.0,5634.0,5937.0,6240.0,6542.0,6845.0,7147.0
200000.0,108000.0,4969.0,5366.0,5668.0,5971.0,6274.0,6576.0,6879.0,7181.0
200000.0,108500.0,5003.0,5400.0,5702.0,6005.0,6308.0,6610.0,6913.0,7215.0
200000.0,109000.0,5037.0,5434.0,5736.0,6039.0,6342.0,6644.0,6947.0,7249.0
200000.0,109500.0,5071.0,5468.0,5770.0,6073.0,6376.0,6678.0,6981.0,7283.0
200000.0,110000.0,5105.0,5502.0,5804.0,6107.0,6410.0,6712.0,7015.0,7317.0
200000.0,110500.0,5139.0,5536.0,5838.0,6141.0,6444.0,6746.0,7049.0,7351.0
200000.0,111000.0,5173.0,5570.0,5872.0,6175.0,6478.0,6780.0,7083.0,7385.0
200000.0,111500.0,5207.0,5604.0,5906.0,6209.0,6512.0,6814.0,7117.0,7419.0
200000.0,112000.0,5241.0,5638.0,5940.0,6243.0,6546.0,6848.0,7151.0,7453.0
